天使	てんし
使う	つかう
技法	ぎほう	techinique
利用	りよう	use; utilization
早速	さっそく
儀式	ぎしき	ceremony; ritual
素材	そざい	ingredient; (raw) material
吸収	きゅうしゅう	absorption		using disposable units to upgrade unit
必要	ひつよう	necessary
項目	こうもく	item; heading
選択	せんたく	selection; choice; option
画面	がめん	screen
開く	ひらく	open
契約	けいやく	contract; agreement
一覧	いちらん	summary; list; table
表示	ひょうじ	to display (computer terminology)
行使	こうし	use; exercise (of one's right, authority, power, etc.)
可能	かのう	possible
今回	こんかい
強化	きょうか	strengthening; enhancement
実際	じっさい	actuality
輪廻	りんね
輪始
廻清
能力	のうりょく	ability
上限値	じょうげんち	upper bound		the maximum stats of units
基礎値	きそち	base value		the unit's base stats at level 1
段階	だんかい
初期	しょき
分岐	ぶんき
種族	しゅぞく	race; tribe
行為	こうい
証	あかし
攻撃	こうげき
荒地	あれち	wasteland
溶岩	ようがん	lava
飛天魔	ひてんま
早々	そうそう
目指す	めざす	aim; goal; purpose
回避	かいひ	evasion
盗賊	とうぞく	theif
加護	かご	divine protection
足輪	あしわ	leg band
起動	きどう
推奨	すいしょう	recommendation
方式	ほうしき	form; method; system; formula
拡大	かくだい	magnification; enlargement
比率	ひりつ	ratio; proportion; percentage
固定	こてい	being fixed (in place); securing; anchoring
全体	ぜんたい
処理	しょり	processing
方式	ほうしき
ハードウェア	hardware
発生	はっせい	incidence; occurrence
変更	へんこう	change; modification
描画	びょうが	drawing; painting
間隔	かんかく	space; interval
無視	むし
常に	つねに	always; constantly
有効	ゆうこう	valid; effective
入力	にゅうりょく	input
機能	きのう	function; feature
使用	しよう	use; utilization
出力	しゅつりょく	output (electrical, signal, etc.)		writing error log
操作	そうさ	operation
制御	せいぎょ	control (of a machine, device, etc.)
抑制	よくせい	control; restraint; suppression; constraint
変更	へんこう	change; modification
起動時	きどうじ
